areas,audio,category,course_title,dct_price,discount,length,level,new_course_date,number_students,positive_reviews_share,price,reviews,software,subtitles,summary,teacher,teacher_links
,"Spanish
",NA,Adobe Photoshop for Photographers,US$ 9.90,78% Disc.,"9h 18m
",NA,No new course,2471,98,US$ 44.90,53,,"Spanish
",[],Oriol Segon,"https://www.domestika.org/en/login.js?scope=courses&target=637-adobe-photoshop-for-photographers,https://domestika.org/oriolsegontorra,https://facebook.com/oriol.segon,https://twitter.com/OriolSegon,https://instagram.com/oriol_segon_torra,https://www.linkedin.com/in/oriolsegontorra,http://www.oriolsegontorra.com/"
,"Spanish
",NA,Introduction to Adobe Premiere Pro,NA,78% Disc.,"3h 29m
",NA,No new course,6200,100,US$ 44.90,112,,"Spanish
",[],Juanmi Cristóbal,"https://www.domestika.org/en/login.js?scope=courses&target=537-introduction-to-adobe-premiere-pro,https://domestika.org/jmicristobal,https://www.linkedin.com/in/juanmi-cristobal-fourminds/"
"Content Marketing,Digital Marketing,Social Media,","Spanish
",Marketing & Business,Introduction to Pinterest: Create Pin Friendly Content,US$ 19.90,56% Disc.,"1h 17m
",Beginner,No new course,225,100,US$ 44.90,18,,"Spanish
","['\nYou will start knowing Natalia\'s work and inspiration and how she got more than 1 million followers on Pinterest. \n\n You will learn and understand what Pinterest is and what it is for. The possibilities that the platform has and how you can be part of it and highlight a specific area. We will use, as an option, simple tools that can help us create images pin friendly and how to move them in the network. \n\n The course will be focused on the professional use of Pinterest but it is applicable to any particular user. \n\n Finally we will put into practice everything we have learned to shape our profile and apply the knowledge adapting them to our personal taste. \n\n \n', '\nThis course does not have a final project to use. Throughout the lessons you will optimize your Pinterest account with simple tips and tools to finish with an excellent profile and with an application that will serve as a great source of inspiration, whether for personal or professional use.\n']",Natalia Escaño,"https://www.domestika.org/en/login.js?scope=courses&target=444-introduction-to-pinterest-create-pin-friendly-content,https://domestika.org/nataliaescano,https://facebook.com/nastiordie,https://twitter.com/nastiordie,https://instagram.com/imnatalia_eo,https://www.pinterest.com/nataliaescano,https://www.linkedin.com/in/imnatalia/,http://imnatalia.com/"
"Creative Consulting,Creativity,Design,Marketing,","Spanish
",Marketing & Business,Effective presentation of creative proposals,US$ 19.90,56% Disc.,"2h 13m
",Beginner,No new course,328,88,US$ 44.90,17,"Keynote,","Spanish
","['\nYou will meet Carlos J. Roldán, his main influences, his passion for design and why his interest is born to teach effective presentations to clients. \n\n You will start by knowing Keynote, its tools and basic concepts. Later, Carlos will explain the principles to achieve an effective communication when exposing your proposal, considering the basic visual resources and techniques of oral and corporal expression (because everything influences when communicating). \n\n You will choose a personal project to create an effective presentation and you will identify how your proposal solves the client\'s problem. \n\n Carlos will teach you how to plan your presentation. You will create a simple script where you will reflect the highlights of your project and the most interesting elements that came out of the creation process. With the defined script, you will carry out an inventory of additional resources that must be done to show the full potential of your proposal. \n\n You will start making your presentation step by step. You will learn the concepts of sequence, rhythm and tone, and in addition, you will learn how to use some resources to facilitate an effective communication using text, image and animation \n\n Then, you will take the script to a skeleton divided into sections or chapters, you will create all the additional inputs previously detailed and you will integrate everything in Keynote. \n\n Finally, Carlos will give you some tips to take into account, before, during and after the presentation to your client, for example, the importance of the essay, how to break the ice to generate a good impression, what to deliver at the end technical information that can take you from one or another hurry. \n\n \n', '\nYou will present a project that you have done previously. The result will be a PDF document and a sequence type animation that shows the main quality of the project. \n']",Carlos J Roldán,"https://www.domestika.org/en/login.js?scope=courses&target=473-effective-presentation-of-creative-proposals,https://domestika.org/carlosjroldan,https://facebook.com/carlos.roldan,https://twitter.com/noblanco,https://instagram.com/noblanco,https://www.pinterest.com/noblanco,https://www.linkedin.com/in/carlosjroldan/,http://www.noblan.co/"
"Digital Marketing,Interactive Design,Marketing,Mobile marketing,Multimedia,Video game,","Spanish
",Marketing & Business,Gamification for Advertising,US$ 14.90,67% Disc.,"2h 56m
",Beginner,No new course,198,100,US$ 44.90,7,,"Spanish
","['\nYou will begin by getting to know the work of Rémy, who will tell you about the gamification projects in which he has participated and will share with you his influences, which range from film to literature and videogames. \n\n Then he will tell you what exactly this is about gamification, what it is for, where it comes from and what is the future of this type of experience. In addition, you will discover in broad strokes other types of playful solutions such as playful design and games, which will serve as a preamble to the world of game design. \n\n Rémy will tell you what you need to know to create a gamification experience: you will learn the phases of the engagement loop, review the types of mechanics, rewards and analyze the players\' hexahedron. \n\n When you have the theoretical knowledge necessary to plan your own campaign, you will face the project brief. You will devise a story, you will create the narrative, you will choose the means and you will pose the most effective way to put your concept in motion.\n', '\nRemy will propose you to devise a campaign to motivate people to participate in a social cause, although you can choose another type of campaign if you prefer. \n \n']",Rémy Bastien,"https://www.domestika.org/en/login.js?scope=courses&target=461-gamification-for-advertising,https://domestika.org/remybastien,https://twitter.com/Flash_Stopper,https://www.linkedin.com/in/gerardbastien/"
"Advertising,Copywriting,Creative Consulting,Creativity,Storytelling,","Spanish
",Marketing & Business,Creativity: Generating Ideas through Technology and Storytelling,US$ 14.90,67% Disc.,"3h 55m
",Beginner,No new course,2186,92,US$ 44.90,92,,"Spanish
","['\nDani will begin by explaining the importance of technology in today\'s world and its potential as a tool to solve everyday problems. It will tell you why it is becoming invisible and how this influences the way users interact with brands and content. \n\n You will know different profiles of people or users related to technology within the world of advertising and you will discover the power of technology when creating stories and relating to other human beings. \n\n Later, you will learn some techniques that Dani uses to enhance his storytelling and give you some tips to create your own stories, from scratch or from those of others simply by changing the point of view of the narrator. \n\n You will learn to exercise your creativity and put into operation the necessary tools to get inspiration. You will also discover the potential of technologies when it comes to articulating your narrative and you will understand that these are subject to a cycle. \n\n You will learn to analyze reality to detect problems and you will use creativity to find solutions to these problems. When faced with your final project, you will see how much easier it is to tackle it if you break it down into small problems whose solution can be covered with a greater probability of success. \n\n \n', '\nYou will develop an innovative idea that poses an effective solution for a real problem of the place where you live that you have detected.\n']",Daniel Granatta,"https://www.domestika.org/en/login.js?scope=courses&target=234-creativity-generating-ideas-through-technology-and-storytelling,https://domestika.org/granatta,https://facebook.com/dani.granatta,https://twitter.com/danigranatta,https://instagram.com/danigranatta,http://www.gorditosybonitos.com"
"Advertising,Art Direction,Copywriting,Creativity,","Spanish
",Marketing & Business,Advertising Creativity: Take your Ideas to the Next Level,NA,67% Disc.,"2h 29m
",Beginner,No new course,326,100,US$ 44.90,17,,"Spanish
","['\nYou will start by getting to know Camilo Ruano and Iván Rivera, who will talk about their career, studies and their most relevant experiences. In addition, they will tell you about the importance of having references and influences outside of advertising to nurture your creative work. \n\n You will learn about key processes and documents to start the creative process. You will see what a client brief , an debrief of agency and the role of strategic planning to direct creativity towards a result relevant to the target. \n\n Camilo and Iván will talk to you about creative development and how there is no exact formula to have great ideas. You will learn some basic techniques to think creatively and you will know the concepts of insight , storytelling , storydoing and cultural relevance . \n\n You will see what makes an idea or concept good and you will discover how you can express your creative concept through art direction, copywriting and interaction. Then you will learn the steps to develop the main pieces to show your concept, be it a video case , a board or a presentation. \n\n Finally, Camilo and Iván will give you some key tips to express your idea clearly, with the necessary stimuli and techniques of corporal and verbal expression.\n', '\nYou will develop a creative idea from a brief and you will end the process with the creation of a video case and a board graphic. \n \n']",Ruano Rivera,"https://www.domestika.org/en/login.js?scope=courses&target=379-advertising-creativity-take-your-ideas-to-the-next-level,https://domestika.org/ruanorivera,https://ruano-rivera.myportfolio.com/"
"Copywriting,Creativity,Digital Marketing,Marketing,Social Media,","Spanish
",Marketing & Business,Creative Copywriting for Entrepreneurs,NA,73% Disc.,"2h 53m
",Beginner,No new course,1041,93,US$ 44.90,56,,"Spanish
","['\nThe first thing you will do is meet Christian Caldwell and his work. He will also tell you about his professional career until becoming a creative vice president of the agency McCann Lima and will share some of his references and influences in the world of music, film and literature. \n\n Christian will show you some examples of how some brands have successfully used copywriting for their campaigns, and then perform some exercises that will help you get loose and adopt that chameleon role that every advertising copywriter should carry out. \n\n Next, you will study the case of your project for the course, defining the personality of the brand and the campaign and also, you will learn to analyze the needs of each social network when writing texts. \n\n You will discover the power of the word, but also the importance of being up-to-date with what is spoken in social networks and the communication methods used in them (hashtags and emojis), so that your copies connect immediately with your audience objective. \n\n To finish you will prepare some creatives that will make your texts stand out even more and you will leave them ready to be published in different social networks.\n', '\nYou will write several creative copies for an advertising campaign of a particular project or business and you will adapt each version to the medium and / or the social network in which it is planned to share them. \n \n']",Christian Caldwell,"https://www.domestika.org/en/login.js?scope=courses&target=401-creative-copywriting-for-entrepreneurs,https://domestika.org/cdwboy,https://www.pinterest.com/cdwboy,https://www.linkedin.com/in/christian-caldwell-39216533/,https://www.behance.net/cdwboy"
"Advertising,Branding & Identity,Creative Consulting,Design Management,Marketing,","Spanish
",Marketing & Business,The Brief: Techniques and Tools to Create One,US$ 19.90,56% Disc.,"1h 42m
",Beginner,No new course,177,75,US$ 44.90,4,,"Spanish
","['\nYou will start by knowing Daniel Yepes and his career in the world of branding , which he arrived by chance more than 10 years ago. He will tell you about some of his most important projects and will tell you about his influences within branding . \n\n Daniel will introduce you to some basic concepts, you will know what a brief , what it is for and how important it is when starting a project. You will discover several types of brief and you will also know what the contrabrief . \n\n What information should a brief ? Daniel will review the minimum elements that must be contained through examples used in MUMU. \n\n With all this information you will start to create your branding project for a supposed young and modern sock company. You will start by defining the needs of the project and then develop the brief step by step. Daniel will present to you, through examples, the most common mistakes when developing it and from there, you will correct any of those that you have been able to do in your first sketch. \n\n Finally you will generate a back-brief. You will learn the key points when doing it and you will understand its importance when addressing any creative project.\n', '\nYou will choose an advertising or brand creation campaign in which, a priori, the communication or project objectives are not clear and you will decipher what the briefing and the needs of the project. \n \n']",Mumu El Branding Love,"https://www.domestika.org/en/login.js?scope=courses&target=630-the-brief-techniques-and-tools-to-create-one,https://domestika.org/mumuelbrandinglove,https://facebook.com/soymumu,https://twitter.com/soymumu,https://instagram.com/soymumu,http://mumu.com.co/"
"Creativity,Marketing,Naming,","Spanish
",Marketing & Business,Intellectual Property: from the Idea to the Universe of Brands,US$ 9.90,78% Disc.,"1h 54m
",Beginner,No new course,560,100,US$ 44.90,36,"Adobe Illustrator,,,Adobe Photoshop,","Spanish
","['\nYou will begin by getting to know Flor\'s work, who will tell you about all her projects and how they have helped her obtain the necessary tools to fully understand the procedure of turning an idea into a licensed product. In addition, he will discover your influences and show you what inspires him most. \n\n Many of the best ideas come up as simple creative exercises or as personal projects; Flor will teach you to discover the potential of these ideas, paying special attention to the way they are born and their intentionality. \n\n Flor will give you some keys to success about where, how and when to show your projects. You will learn what the Bible is and what it is for, the pitch and you will see how to carry out a style guide for your project. \n\n \n', '\nFrom your ideas or characters, you will develop your potential to turn it into a copyrighted product.\n']",Flor Kohan,"https://www.domestika.org/en/login.js?scope=courses&target=282-intellectual-property-from-the-idea-to-the-universe-of-brands,https://domestika.org/flor_colorium,https://www.linkedin.com/in/florkohan/,https://www.colorium.net/"
"Digital Marketing,Information Design,Social Media,","Spanish
",Marketing & Business,Pinterest Business as a Marketing Tool,NA,67% Disc.,"1h 29m
",Beginner,No new course,393,100,US$ 44.90,10,,"Spanish
","['\nYou will start the course knowing Mercedes Valgañón, who will tell you how she became an influencer on Pinterest with three million followers, and also, you will know her main sources of inspiration. \n\n You will briefly review the history of Pinterest and enter the analysis of users and their purchasing behavior. You will define your target audience and an aesthetic style that fits it. \n\n You will get your profile ready by the hand of Mercedes, who will show you her magic formula to create the perfect pin between the text and the image. \n\n You will start by creating attractive images and infographics in a simple way, and you will know some tips on the use of video on your boards. \n\n Then, you will see how the perfect description is written to improve your positioning. You will learn to define hashtags and keywords, organize the boards and get the Pinterest algorithm to reward your profile. \n\n You will know some tricks to update your account and discover tools to schedule a month of content in just one afternoon. \n\n Finally, Mercedes will help you get important information from Pinterest Analytics that will help you optimize your content.\n', '\nThis course will not have a final project per se, but you will apply all the knowledge to optimize your professional profile on Pinterest, generating quality content to attract more visits to your profile. \n \n']",Mercedes Valgañón,"https://www.domestika.org/en/login.js?scope=courses&target=481-pinterest-business-as-a-marketing-tool,https://domestika.org/heymercedes,https://instagram.com/heymercedes,https://www.pinterest.com/heymercedes,https://www.linkedin.com/in/mercedesvalganon/"
"Advertising,Content Marketing,Digital Marketing,Marketing,Social Media,","Spanish
",Marketing & Business,Inbound Marketing Basic Concepts,US$ 19.90,56% Disc.,"2h 47m
",Beginner,No new course,547,93,US$ 44.90,29,,"Spanish
","['\nYou will start knowing the work and career of Lucas who, in addition, will talk about the references that serve as inspiration. \n\n Then you will see what is the Inbound Marketing and you will see the differences of this with the Outbound Marketing . \n\n You will also discover what the buyer person and the buyer journey and Lucas will tell you about the importance of getting to know your audience in order to build loyalty. \n\n Lucas will tell you what the funnel and will tell you about some of the most useful tools to investigate and capture the interests of your audience. \n\n You will see a series of success stories that will give you good ideas for making your own content strategy for Inbound Marketing . For this, you will define who you are going to communicate, in what formats and what makes you different to impact those consumers.\n', '\nYou will create a content strategy with the methodology of Inbound Marketing for a blog, a web or digital project with contents that interest and attract your audience and connect with your brand. \n\n \n']",Lucas García,"https://www.domestika.org/en/login.js?scope=courses&target=508-inbound-marketing-basic-concepts,https://domestika.org/lucasgarcia,https://twitter.com/lgarcia,https://instagram.com/lgarcia,https://www.linkedin.com/in/lucasgarcia/,https://socialmood.com/"
"Digital Marketing,Facebook,Instagram,Mobile marketing,Social Media,","Spanish
",Marketing & Business,Customer Service Strategies in Social Networks,NA,67% Disc.,"2h 27m
",Beginner,No new course,306,100,US$ 44.90,6,,"Spanish
","['\nYou will start knowing Julio, his career and his current projects. Then he will talk about the current state of the consumer in today\'s society. \n\n You will learn basic concepts of customer service in social networks and the opportunities offered by the market. Then, you will start to develop your own customer service strategy, setting objectives, tone, style, platforms to use, etc. \n\n You will define the types of queries and how you would respond to each one, generate action flows according to levels, roles and platforms, and also establish a crisis protocol. \n\n You will continue learning about the tools that you can use to carry out the work of customer service in a more agile, automatic and simple way. To do this, you will know the main platforms and their intrinsic characteristics: Twiiter, Instagram, Facebook, chats, reviews and self-support. \n\n You will discover the new trends in the world of customer service: chatbots e integration with messaging applications. \n\n Finally, Julio will give you some practical advice and will teach you and analyze some of the best practices of customer service in social networks.\n', '\nThis course does not have a final project to use. Julio will give you the keys to apply to the customer service strategy in social networks of any of your projects. \n \n']",Julio Fernández-Sanguino,"https://www.domestika.org/en/login.js?scope=courses&target=507-customer-service-strategies-in-social-networks,https://domestika.org/juliofsanguino,https://twitter.com/juliofsanguino,https://instagram.com/juliofsanguino,https://www.linkedin.com/in/juliofsanguino/"
"Advertising,Digital Marketing,Marketing,Social Media,","Spanish
",Marketing & Business,Viral Marketing: Campaigns That Share Themselves,NA,67% Disc.,"1h 54m
",Beginner,No new course,796,81,US$ 44.90,27,,"Spanish
","['\nThe course will begin with an introduction to viral marketing and what you can achieve by running a viral campaign. You will know the power of social networks and the influence they exert on the masses. \n\n After having the basic notions about viral marketing, you will go to know what are the steps to make a campaign. You will start knowing the brand and its audience. Then, you will learn about viral or advertising campaigns similar to the brand of your choice. \n\n After obtaining this information, you will learn about how a campaign is organized with time or without planning time, and you will choose the hashtags to use and the product you want to make viral. To finish the stage of organization and planning, you will define which ecosystem of networks is the best to launch your viral. \n\n Also, you will see what decisions and actions to take in the execution stage of your campaign, depending on the success obtained. You will get recommendations on what to do if your viral was contagious and what to do if it did not come to life. To complete this stage you will know the importance of a good copywriting . \n\n Finally, you will learn to analyze a campaign, the metrics of the successes, the errors and what could be done.\n', '\nYou will plan a viral campaign for a brand of your choice. \n \n']",Renato Farfán Basauri,"https://www.domestika.org/en/login.js?scope=courses&target=511-viral-marketing-campaigns-that-share-themselves,https://domestika.org/nato_farfan,https://facebook.com/Renato.Basauri,https://twitter.com/nAtO_1982,https://instagram.com/natoramas,https://www.linkedin.com/in/renato-farf%C3%A1n-basauri-01981917/?originalSubdomain=pe,https://cargocollective.com/renatofarfan"
"Advertising,Branding & Identity,Copywriting,Creative Consulting,Creativity,Marketing,Naming,Writing,","Spanish
",Marketing & Business,Naming: The Art of Name Creation,US$ 14.90,67% Disc.,"1h 57m
",Beginner,No new course,2321,97,US$ 44.90,149,,"Spanish
","['\nYou will start discovering how and why Xavi Grau specialized in naming and will talk to you about the basic concepts in the name creation process. \n\n Starting from a briefing, you will face the first phase of the creation of names: the long list. You will learn to lose the fear of the blank page and you will do a first exercise that will help you generate a hundred names. \n\n From that long list you will learn to select the ones that best fit the needs of the project and you will discover that some of them ""look at you"". Those are the ones that really work. \n\n You will see how to verify that your name is appropriate and that, in fact, it can be registered and used. In addition, Xavi Grau will give you some tips to present the naming to your client. \n\n Xavi Grau will analyze different cases of naming study: for institutions, professionals and companies. This will help you better understand the choice of some names and propose your own proposals. \n\n \n', '\nYou will realize a complete project of naming, from a briefing, until obtaining a name of success according to the necessities of the project.\n']",Xavier Grau Castelló,"https://www.domestika.org/en/login.js?scope=courses&target=244-naming-the-art-of-name-creation,https://domestika.org/xgrau,https://facebook.com/nom-nam,https://instagram.com/nomnamgram,https://www.linkedin.com/in/xaviergraucastello/,http://www.nom-nam.com/"
"Advertising,Branding & Identity,Copywriting,Creative Consulting,Creativity,Marketing,Naming,Packaging,Product Design,Writing,","Spanish
",Marketing & Business,Strategy and Creativity to Design Brand Names,US$ 9.90,78% Disc.,"2h 56m
",Beginner,No new course,4186,99,US$ 44.90,272,,"Spanish
","['\nYou will begin knowing the trajectory and the influences of Ignasi Fontvila. \n\n Next, Ignasi will teach you to analyze the different elements of the brand\'s identity and its importance. \n\n Then you will make a tour of the problems in the naming processes and the possible consequences of a bad choice in the brand name. \n\n Once in context, you will see in detail the methodology of a naming process: starting with the collection of the necessary information and continuing with the elaboration of the concept board and the creative strategy. \n\n You will also analyze different semantic, phonetic and morphological attributes that will be useful when developing the strategic phase. \n\n Then you will go to the creation phase, reviewing the processes and techniques to generate new names or discover existing names, to lead to the selection phase, examining the criteria that must be taken into account to make such choice and subsequent presentation of names candidates. \n\n Finally, you will finish the course with a review of the linguistic and legal controls that constitute the final validation of the entire project. \n\n \n', '\nThe project of the course consists in the creation of a name for a passenger transport service in high-speed trains. The methodology explained during the course is easy to apply and follow up in order to easily and quickly develop the project in its entirety. \n\n']",ignasi fontvila,"https://www.domestika.org/en/login.js?scope=courses&target=140-strategy-and-creativity-to-design-brand-names,https://domestika.org/ignasifontvila,https://es.linkedin.com/in/ignasifontvila/es,http://nameworks.es/"
"Advertising,Art Direction,Branding & Identity,Instagram,Mobile Photography,Photography,Post-production,Product photography,Social Media,","Spanish
",Marketing & Business,Photography for Social Media: Lifestyle Branding on Instagram,US$ 19.90,56% Disc.,"1h 17m
",Beginner,No new course,11099,89,US$ 44.90,816,"Adobe Photoshop,","Spanish
","['\nYou will begin knowing the work and the influences of these two creatives settled in Buenos Aires and their beginnings in the world of Advertising. \n\n Then you will discover how brands manage to give personality to their photos and the characteristics of the composition of images according to their own digital language (limitations of size, reading, use made by users) and their application in Social Networks with some real examples . \n\n Within the visual territories that exist, Bond will speak to you of two types: product photography and lifestyle photography. In both themes, they will show you how they prepare the preproduction or preparation phases of the photographic material and the necessary props, the shooting, the selection of photos and the final edition of the images in postproduction. \n\n Once you have your photos ready to be published, you will organize them based on an Instagram grid exploring their creative possibilities and you will discover some additional content that you can add to your content such as creating gifs or retouching with Illustrator. \n\n Finally, Bond will give you some tips on how to present the final project to a client. \n\n \n', '\nYou must produce and edit a series of photographs that give personality to a personal project or a brand that you like and create a composition the content to be published in Social Networks. \n']",BOND,"https://www.domestika.org/en/login.js?scope=courses&target=156-photography-for-social-media-lifestyle-branding-on-instagram,https://domestika.org/holabond,https://facebook.com/HolaBond,https://twitter.com/holabond,https://instagram.com/holabond,https://www.pinterest.com/HolaBond"
"Costume Design,Fashion,Fashion Design,","Spanish
",Marketing & Business,Basics of Contemporary Fashion,US$ 9.90,78% Disc.,"1h 37m
",Beginner,No new course,761,98,US$ 44.90,53,,"Spanish
","['\nYou will start knowing the work of Gustavo Prado and his relationship with the world of fashion. In addition, he will tell you about his favorite designers and you will discover who are the professionals who inspire him the most and who have helped him get to where he is today. \n\n Afterwards, he will talk about the relationship of fashion with the human body; You will learn to observe the physiognomic differences of people around the world and the importance of culture in the incidence of tastes and fashion trends. \n\n Gustavo will talk about pattern making, showing that there are many other, very creative ways to create clothes. The mixture of images or ""fashematics"" (the mathematics of fashion), is another technique that will inspire you when experimenting with fashion. \n\n You will discover that, through clothing, it is possible to tell all kinds of stories and, you will know the importance of the golden geometry when designing. \n\n Together you will review some successful Mexican and international cases that have jumped to fame and have even become viral thanks to their designs. \n\n \n', '\nStarting from your own tastes and aptitudes, observing your surroundings, you will create a board in which you will explain all the concepts on which your personal contemporary streetwear brand is based.\n']",Gustavo Prado,"https://www.domestika.org/en/login.js?scope=courses&target=247-basics-of-contemporary-fashion,https://domestika.org/gustavoprado,https://facebook.com/trendomexico,https://instagram.com/trendo.mx,https://www.linkedin.com/in/trendomx/,http://www.trendo.mx/"
"Copywriting,Facebook,Filmmaking,Mobile marketing,Script,Social Media,Storytelling,Video,Video editing,","Spanish
",Marketing & Business,Audiovisual Storytelling for Social Media,US$ 14.90,67% Disc.,"1h 20m
",Beginner,No new course,1635,88,US$ 44.90,105,,"Spanish
","['\nYou will begin by getting to know the work and career of Josune Imízcoz who, in addition, will tell you about the means he follows to keep up with what is happening in the world and the new communication formats. \n\n Then he will talk about the most used video formats in social networks and their characteristics. You will also analyze the importance of technology, the supports and how the amount of information we are exposed to influences the way of telling stories nowadays. \n\n Then you will select the story you want to tell and you will define the tone, the aesthetics and the emotion that you want to provoke with it. \n\n Josune will give you some very valuable advice on where to find documentation and materials for your stories and will tell you how to structure and write them to connect with your followers.\n', '\nYou will write and plan the script of a story, ready to be mounted in audiovisual format, which you can share on social networks. \n \n']",Josune Imízcoz,"https://www.domestika.org/en/login.js?scope=courses&target=451-audiovisual-storytelling-for-social-media,https://domestika.org/josune_imizcoz,https://twitter.com/josune_imizcoz,https://instagram.com/josuah,https://www.linkedin.com/in/josune-im%C3%ADzcoz-astiz-30a7a551/"
"Art Direction,Fine-art photography,Instagram,Mobile marketing,Mobile Photography,Photography,Product photography,Social Media,","Spanish
",Marketing & Business,Creative Photography for Social Media,US$ 10.90,76% Disc.,"1h 28m
",Beginner,No new course,1539,94,US$ 44.90,69,,"Spanish
","['\nThe first thing you will do is to know in depth the work of Anna Devís and Daniel Rueda, who will also tell you about their references and their major influences in terms of photography, architecture and illustration. \n\n Then they will tell you what creative photography is, they will show you some graphic examples and they will challenge you to make your first compositions with a minimalist vision. \n\n To make the flame of creativity ignite you will face the briefing of a client who seeks to publish his product in an original and striking way on Instagram. \n\n From the ideas that arise in the brainstorming you will make your first sketches and begin to plan the photo shoot looking for creative solutions to capture them with your camera. When you have everything ready you will go to search for locations and you will choose the perfect moment for the shooting. \n\n Once you have your photos you will go to the development with Camera Raw and make the necessary adjustments with Adobe Photoshop. \n\n Finally, Anna and Daniel will show you some of their favorite apps to edit photos and videos and give you some useful tips to show your work on Instagram. \n\n \n', '\nYou will make a creative and minimalist photograph that will tell a story by itself, to publicize a product in a different way.\n']",Anna Devís y Daniel Rueda,"https://www.domestika.org/en/login.js?scope=courses&target=410-creative-photography-for-social-media,https://domestika.org/annandaniel,https://twitter.com/anniset,https://instagram.com/drcuerda"
"Branding & Identity,Content Marketing,Copywriting,Digital Marketing,Marketing,Social Media,Storytelling,","Spanish
",Marketing & Business,Branded Content and Content Curation for your Personal Brand,NA,71% Disc.,"2h 48m
",Beginner,No new course,4665,95,US$ 44.90,235,,"Spanish
","['\nYou will start discovering what branded content is and how this strategy was born. You will know what its advantages are, what formats are the ideals and the best way to create good content. \n\n Carla will explain the branded content from the perspective of a real case, that of the San Miguel beer brand and will tell you about other success stories. Each social network is a world and will tell you how to create content taking into account the particularities of each one of them. \n\n Eva will explain what content curation is, its origin and its importance within the current information landscape. From different examples, it will show you the different phases and tools necessary to manage your content strategy. \n\n Then you will learn to unify both disciplines and how this can help you to position your personal brand through social networks. \n\n You will analyze the case of the movie The Corpse of Ana Fritz and you will discover what you must do and the mistakes you should not make (and how to solve them) when putting your personal strategy into action. \n\n \n', '\nAt the end of the course you will have the necessary tools to create your own content strategy for your personal brand that you can apply in social networks. \n\n Taking as reference the exercise of management of the personal brand of a designer that Eva and Carla propose, you will have learned to select the best contents for each platform and combine them following an editorial strategy previously marked by you (calendar, dates, types of content. ..).\n']",Carla González & Eva Morell,"https://www.domestika.org/en/login.js?scope=courses&target=212-branded-content-and-content-curation-for-your-personal-brand,https://domestika.org/carlayeva"
"Content Marketing,Digital Marketing,Marketing,Mobile marketing,","Spanish
",Marketing & Business,Basic Principles of SEO ,US$ 34.90,22% Disc.,"3h 0m
",Beginner,No new course,614,100,US$ 44.90,13,,"Spanish
","['\nYou will start this course knowing Natzir and his professional career. You\'ll see the professionals he admires most, in addition to his main sources of information, from blogs to books about SEO. \n\n Afterwards, you will enter the world of SEO completely. You will learn what it is, why it is important and how a search engine like Google works. \n\n To create SEO content, you must know what are keywords or keywords , their importance, the different types that exist and how to find them. Next, Natzir will give you a basic introduction to the HTML language, which will help you create and optimize your page or blog for search engines. \n\n  \n\n You will see what quality content is for Google and what practices you should avoid so that your website does not disappear in this search engine. \n\n You will learn to measure the success of your SEO actions with different tools and you will discover the most important metrics to measure the evolution of an online business in the search engines. Natzir will tell you exactly what you should measure and how you should do it. \n\n Finally, you will discover some important elements that you can apply on your website to achieve a good impact on your SEO strategy. \n', '\nYou will conduct a keyword study with SEO tools with which you will optimize the pages of your portfolio, or your professional services page.\n']",Natzir Turrado,"https://www.domestika.org/en/login.js?scope=courses&target=512-basic-principles-of-seo,https://domestika.org/n_turrado_ruiz,https://twitter.com/natzir9,https://www.linkedin.com/in/natzir/,https://www.natzir.com"
"Advertising,Creative Consulting,Creativity,Marketing,","Spanish
",Marketing & Business,Advertising Creativity for all Audiences,US$ 11.90,73% Disc.,"4h 39m
",Beginner,No new course,6614,98,US$ 44.90,400,,"Spanish
","['\nYou will begin knowing the work and influences of Daniel Granatta. \n\n Next, Daniel will explain the importance of knowing how to conceptualize and will make a brief tour of the history of advertising, some of its most famous brands and campaigns, the evolution of the platforms in which they lived and the needs of each of their publics . \n\n In context, you will get to work learning to make mental associations with different techniques and you will discover the importance of playing with the point of view of the narrator. \n\n You will learn what a brief is, how to write it and work with it, what a brand is, what are the territories of a brand, the difference between brands that say and brands that they make, how to build an insight and how to create the strategic planning document for a specific case \n\n Then you will discover the criteria to distinguish a good idea from a bad one and tips to learn how to convince a potential client. \n\n Finally, you will end up looking at the future analyzing technological issues, trends and consumers. \n\n \n', '\nStarting from a briefing, the creation of a dog shelter service, you will devise a name and an advertising campaign as if it were a real assignment. \n\n']",Daniel Granatta,"https://www.domestika.org/en/login.js?scope=courses&target=160-advertising-creativity-for-all-audiences,https://domestika.org/granatta,https://facebook.com/dani.granatta,https://twitter.com/danigranatta,https://instagram.com/danigranatta,https://www.linkedin.com/in/danielgranatta,http://www.gorditosybonitos.com"
